date,year,season,companyCode,companyName,genre,EPS,shareValue,revenue,netIncome,comprehensiveIcome,IncomeAfterTax
"1111109","111","3","1103","嘉新水泥股份有限公司","水泥工業","-0.33","新台幣                 10.0000元","1593823.00","-324152.00","157609.00","-210339.00"
"1111109","111","3","1201","味全食品工業股份有限公司","食品工業","0.65","新台幣                 10.0000元","15214414.00","418407.00","7707.00","327082.00"
"1111109","111","3","1232","大統益股份有限公司","食品工業","6.12","新台幣                 10.0000元","17687951.00","1110830.00","166804.00","1009473.00"
"1111109","111","3","1234","黑松股份有限公司","食品工業","1.73","新台幣                 10.0000元","6964779.00","464944.00","377428.00","693895.00"
"1111109","111","3","1305","華夏海灣塑膠股份有限公司","塑膠工業","-0.55","新台幣                 10.0000元","14130620.00","-910821.00","476914.00","-300224.00"
"1111109","111","3","1321","大洋塑膠工業股份有限公司","塑膠工業","0.34","新台幣                 10.0000元","5187808.00","-124336.00","203402.00","74627.00"
"1111109","111","3","1326","台灣化學纖維股份有限公司","塑膠工業","2.54","新台幣                 10.0000元","293928768.00","-14688.00","18446040.00","17108868.00"
"1111109","111","3","1337","亞洲塑膠再生資源控股有限公司","塑膠工業","-1.34","新台幣                 10.0000元","468889.00","-354224.00","-5794.00","-360018.00"
"1111109","111","3","1413","宏洲纖維工業股份有限公司","紡織纖維","0.80","新台幣                 10.0000元","2501058.00","91142.00","14302.00","105444.00"
"1111109","111","3","1434","福懋興業股份有限公司","紡織纖維","1.89","新台幣                 10.0000元","26945284.00","939777.00","2516895.00","3177834.00"
"1111109","111","3","1437","勤益投資控股股份有限公司","其他","1.44","新台幣                 10.0000元","605760.00","319038.00","22677.00","291636.00"
"1111109","111","3","1438","三地開發地產股份有限公司","建材營造","5.32","新台幣                 10.0000元","455715.00","406739.00","-23165.00","378540.00"
"1111109","111","3","1451","年興紡織股份有限公司","紡織纖維","2.36","新台幣                 10.0000元","6853705.00","297629.00","277994.00","466663.00"
"1111109","111","3","1452","宏益纖維工業股份有限公司","紡織纖維","1.04","新台幣                 10.0000元","1428858.00","110084.00","63692.00","137772.00"
"1111109","111","3","1476","儒鴻企業股份有限公司","紡織纖維","21.86","新台幣                 10.0000元","32105868.00","6559881.00","956156.00","5998197.00"
"1111109","111","3","1477","聚陽實業股份有限公司","紡織纖維","11.32","新台幣                 10.0000元","24719886.00","3366503.00","222329.00","2761965.00"
"1111109","111","3","1515","力山工業股份有限公司","電機機械","-1.01","新台幣                 10.0000元","3652335.00","-319941.00","82187.00","-183155.00"
"1111109","111","3","1516","川飛能源股份有限公司","其他","1.03","新台幣                 10.0000元","1171319.00","44040.00","1548.00","36649.00"
"1111109","111","3","1524","耿鼎企業股份有限公司","汽車工業","1.75","新台幣                 10.0000元","1800349.00","186574.00","171995.00","288995.00"
"1111109","111","3","1526","日馳企業股份有限公司","電機機械","5.29","新台幣                 10.0000元","1718433.00","392525.00","20926.00","317358.00"
"1111109","111","3","1528","恩德科技股份有限公司","電機機械","0.73","新台幣                 10.0000元","2690629.00","59942.00","129467.00","141518.00"
"1111109","111","3","1535","中宇環保工程股份有限公司","電機機械","3.56","新台幣                 10.0000元","6364029.00","232333.00","277717.00","440307.00"
"1111109","111","3","1537","廣隆光電科技股份有限公司","電機機械","9.48","新台幣                 10.0000元","5734824.00","776248.00","245469.00","776383.00"
"1111109","111","3","1541","錩泰工業股份有限公司","電機機械","4.77","新台幣                 10.0000元","3399769.00","106443.00","360444.00","375897.00"
"1111109","111","3","1560","中國砂輪企業股份有限公司","電機機械","7.35","新台幣                 10.0000元","5318312.00","1173874.00","141249.00","1079171.00"
"1111109","111","3","1582","信錦企業股份有限公司","電子零組件業","2.77","新台幣                 10.0000元","8026301.00","260270.00","305357.00","348407.00"
"1111109","111","3","1597","直得科技股份有限公司","電機機械","2.85","新台幣                 10.0000元","1266381.00","278948.00","57020.00","253167.00"
"1111109","111","3","1605","華新麗華股份有限公司","電器電纜","5.37","新台幣                 10.0000元","136665439.00","8168139.00","14851287.00","18666795.00"
"1111109","111","3","1612","宏泰電工股份有限公司","電器電纜","0.70","新台幣                 10.0000元","4577438.00","391012.00","6186.00","221734.00"
"1111109","111","3","1707","葡萄王生技股份有限公司","生技醫療業","6.65","新台幣                 10.0000元","7266923.00","1729219.00","92247.00","1473613.00"
"1111109","111","3","1708","東南實業股份有限公司","化學工業","4.65","新台幣                 10.0000元","6129667.00","1537184.00","-54265.00","1158929.00"
"1111109","111","3","1712","興農股份有限公司","化學工業","3.37","新台幣                 10.0000元","18012868.00","1580461.00","192840.00","1424152.00"
"1111109","111","3","1713","國泰化工廠股份有限公司","化學工業","1.38","新台幣                 10.0000元","469709.00","8859.00","202768.00","208328.00"
"1111109","111","3","1714","和桐化學股份有限公司","化學工業","0.35","新台幣                 10.0000元","17185684.00","619330.00","111074.00","539387.00"
"1111109","111","3","1720","生達化學製藥股份有限公司","生技醫療業","3.58","新台幣                 10.0000元","4268103.00","814680.00","317843.00","927154.00"
"1111109","111","3","1723","中鋼碳素化學股份有限公司","化學工業","5.82","新台幣                 10.0000元","8223703.00","1410543.00","223428.00","1350339.00"
"1111109","111","3","1726","永記造漆工業股份有限公司","化學工業","3.68","新台幣                 10.0000元","7092787.00","591227.00","169720.00","596167.00"
"1111109","111","3","1730","花仙子企業股份有限公司","化學工業","3.32","新台幣                 10.0000元","2121104.00","256311.00","19995.00","225407.00"
"1111109","111","3","1736","喬山健康科技股份有限公司","生技醫療業","-0.35","新台幣                 10.0000元","22122519.00","-1041234.00","614592.00","-301108.00"
"1111109","111","3","1737","臺鹽實業股份有限公司","食品工業","1.68","新台幣                 10.0000元","2773166.00","351301.00","56276.00","320026.00"
"1111109","111","3","1752","南光化學製藥股份有限公司","生技醫療業","1.88","新台幣                 10.0000元","1339442.00","199551.00","30349.00","190229.00"
"1111109","111","3","1773","勝一化工股份有限公司","化學工業","5.77","新台幣                 10.0000元","8805725.00","1665231.00","121123.00","1441613.00"
"1111109","111","3","1783","和康生物科技股份有限公司","生技醫療業","1.25","新台幣                 10.0000元","440124.00","78407.00","34650.00","96131.00"
"1111109","111","3","1786","科妍生物科技股份有限公司","生技醫療業","1.69","新台幣                 10.0000元","397481.00","91481.00","45583.00","112169.00"
"1111109","111","3","1789","台灣神隆股份有限公司","生技醫療業","0.32","新台幣                 10.0000元","2248193.00","279981.00","34328.00","251644.00"
"1111109","111","3","1906","寶隆國際股份有限公司","造紙工業","3.03","新台幣                 10.0000元","3599604.00","5931.00","482743.00","457867.00"
"1111109","111","3","2002","中國鋼鐵股份有限公司","鋼鐵工業","1.48","新台幣                 10.0000元","354190284.00","25243744.00","5204576.00","23988932.00"
"1111109","111","3","2006","東和鋼鐵企業股份有限公司","鋼鐵工業","4.33","新台幣                 10.0000元","45922698.00","3901907.00","176243.00","3175036.00"
"1111109","111","3","2010","春源鋼鐵工業股份有限公司","鋼鐵工業","0.77","新台幣                 10.0000元","19048289.00","547900.00","65519.00","497627.00"
"1111109","111","3","2013","中國鋼鐵結構股份有限公司","鋼鐵工業","1.79","新台幣                 10.0000元","14036598.00","297509.00","132439.00","358485.00"
"1111109","111","3","2014","中鴻鋼鐵股份有限公司","鋼鐵工業","0.04","新台幣                 10.0000元","36320077.00","-715295.00","631878.00","55662.00"
"1111109","111","3","2015","豐興鋼鐵股份有限公司","鋼鐵工業","4.07","新台幣                 10.0000元","29645383.00","2516135.00","398860.00","2367715.00"
"1111109","111","3","2024","志聯工業股份有限公司","鋼鐵工業","0.55","新台幣                 10.0000元","924383.00","62428.00","5060.00","53698.00"
"1111109","111","3","2030","彰源企業股份有限公司","鋼鐵工業","2.56","新台幣                 10.0000元","12997831.00","1071794.00","-120643.00","716963.00"
"1111109","111","3","2031","新光鋼鐵股份有限公司","鋼鐵工業","0.67","新台幣                 10.0000元","13003039.00","727361.00","-252038.00","227116.00"
"1111109","111","3","2032","新鋼工業股份有限公司","鋼鐵工業","0.24","新台幣                 10.0000元","2604606.00","9426.00","25899.00","31313.00"
"1111109","111","3","2033","佳大世界股份有限公司","鋼鐵工業","-0.06","新台幣                 10.0000元","622171.00","-4327.00","-234.00","-4536.00"
"1111109","111","3","2034","允強實業股份有限公司","鋼鐵工業","2.38","新台幣                 10.0000元","13403214.00","1097004.00","305976.00","1059341.00"
"1111109","111","3","2049","上銀科技股份有限公司","電機機械","11.74","新台幣                 10.0000元","23722542.00","5072483.00","165232.00","3900047.00"
"1111109","111","3","2059","川湖科技股份有限公司","電子零組件業","35.59","新台幣                 10.0000元","5810543.00","2751342.00","1590596.00","3391268.00"
"1111109","111","3","2062","橋椿金屬股份有限公司","其他","3.55","新台幣                 10.0000元","6507258.00","587648.00","313991.00","710669.00"
"1111109","111","3","2103","台橡股份有限公司","橡膠工業","2.17","新台幣                 10.0000元","26357386.00","2440869.00","440172.00","2070321.00"
"1111109","111","3","2107","厚生股份有限公司","橡膠工業","2.05","新台幣                 10.0000元","1496200.00","324550.00","491972.00","699939.00"
"1111109","111","3","2114","鑫永銓股份有限公司","橡膠工業","3.50","新台幣                 10.0000元","1425154.00","455978.00","-88430.00","273072.00"
"1111109","111","3","2115","六暉控股股份有限公司","汽車工業","1.65","新台幣                 10.0000元","2360250.00","264629.00","-8542.00","163995.00"
"1111109","111","3","2227","裕隆日產汽車股份有限公司","汽車工業","6.55","新台幣                 10.0000元","17032967.00","97384.00","2374209.00","1965806.00"
"1111109","111","3","2228","劍麟股份有限公司","汽車工業","4.66","新台幣                 10.0000元","3308848.00","342111.00","133282.00","353734.00"
"1111109","111","3","2236","百達精密工業股份有限公司","汽車工業","0.94","新台幣                 10.0000元","1026482.00","58886.00","17388.00","41209.00"
"1111109","111","3","2301","光寶科技股份有限公司","電腦及週邊設備業","4.51","新台幣                 10.0000元","130361572.00","11745475.00","1252790.00","10333625.00"
"1111109","111","3","2303","聯華電子股份有限公司","半導體業","5.54","新台幣                 10.0000元","210869549.00","80655450.00","915646.00","68898429.00"
"1111109","111","3","2308","台達電子工業股份有限公司","電子零組件業","9.53","新台幣                 10.0000元","278783021.00","30661572.00","3880209.00","27894082.00"
"1111109","111","3","2329","華泰電子股份有限公司","半導體業","1.78","新台幣                 10.0000元","11936056.00","1167827.00","321692.00","1220588.00"
"1111109","111","3","2332","友訊科技股份有限公司","通信網路業","-0.29","新台幣                 10.0000元","12656795.00","171447.00","-124271.00","-72634.00"
"1111109","111","3","2337","旺宏電子股份有限公司","半導體業","4.52","新台幣                 10.0000元","34409528.00","8614911.00","1020263.00","8364504.00"
"1111109","111","3","2344","華邦電子股份有限公司","半導體業","3.11","新台幣                 10.0000元","75305977.00","15577140.00","1582049.00","14092350.00"
"1111109","111","3","2347","聯強國際股份有限公司","電子通路業","7.96","新台幣                 10.0000元","313012027.00","6286939.00","10602445.00","13670893.00"
"1111109","111","3","2352","佳世達科技股份有限公司","電腦及週邊設備業","4.01","新台幣                 10.0000元","183720277.00","4375457.00","11106415.00","10063297.00"
"1111109","111","3","2353","宏碁股份有限公司","電腦及週邊設備業","1.94","新台幣                 10.0000元","215586661.00","5916950.00","2426093.00","6253523.00"
"1111109","111","3","2354","鴻準精密工業股份有限公司","其他電子業","2.43","新台幣                 10.0000元","60498018.00","1734329.00","3384755.00","3427527.00"
"1111109","111","3","2369","菱生精密工業股份有限公司","半導體業","0.52","新台幣                 10.0000元","4769838.00","158623.00","83842.00","202762.00"
"1111109","111","3","2383","台光電子材料股份有限公司","電子零組件業","11.16","新台幣                 10.0000元","29784514.00","4702722.00","44156.00","3717155.00"
"1111109","111","3","2385","群光電子股份有限公司","電子零組件業","7.88","新台幣                 10.0000元","88145642.00","8093198.00","639312.00","6888131.00"
"1111109","111","3","2388","威盛電子股份有限公司","半導體業","-0.18","新台幣                 10.0000元","7092640.00","157856.00","314012.00","205821.00"
"1111109","111","3","2395","研華股份有限公司","電腦及週邊設備業","10.59","新台幣                 10.0000元","51557924.00","9500687.00","773415.00","8208119.00"
"1111109","111","3","2397","友通資訊股份有限公司","電腦及週邊設備業","3.43","新台幣                 10.0000元","11842778.00","528748.00","69218.00","461532.00"
"1111109","111","3","2408","南亞科技股份有限公司","半導體業","5.09","新台幣                 10.0000元","48998722.00","12546383.00","5749417.00","15765451.00"
"1111109","111","3","2412","中華電信股份有限公司","通信網路業","3.62","新台幣                 10.0000元","157238260.00","35867730.00","515816.00","29202599.00"
"1111109","111","3","2414","精技電腦股份有限公司","電子通路業","2.66","新台幣                 10.0000元","18876689.00","592453.00","4055.00","479449.00"
"1111109","111","3","2419","仲琦科技股份有限公司","通信網路業","1.09","新台幣                 10.0000元","8642851.00","572213.00","-32522.00","411979.00"
"1111109","111","3","2421","建準電機工業股份有限公司","電子零組件業","3.23","新台幣                 10.0000元","10270479.00","755142.00","280185.00","809382.00"
"1111109","111","3","2423","固緯電子實業股份有限公司","其他電子業","2.06","新台幣                 10.0000元","2131879.00","357151.00","75030.00","298981.00"
"1111109","111","3","2427","三商電腦股份有限公司","資訊服務業","0.95","新台幣                 10.0000元","2661769.00","190585.00","38767.00","175450.00"
"1111109","111","3","2428","興勤電子工業股份有限公司","電子零組件業","9.40","新台幣                 10.0000元","5588278.00","1175415.00","410267.00","1214188.00"
"1111109","111","3","2430","燦坤實業股份有限公司","電子通路業","3.23","新台幣                 10.0000元","17171157.00","572649.00","6202.00","469928.00"
"1111109","111","3","2436","偉詮電子股份有限公司","半導體業","0.78","新台幣                 10.0000元","2217395.00","262993.00","-78972.00","134820.00"
"1111109","111","3","2439","美律實業股份有限公司","通信網路業","5.10","新台幣                 10.0000元","25073296.00","656189.00","906501.00","1258242.00"
"1111109","111","3","2441","超豐電子股份有限公司","半導體業","5.04","新台幣                 10.0000元","12912096.00","3244498.00","424633.00","2869359.00"
"1111109","111","3","2449","京元電子股份有限公司","半導體業","4.36","新台幣                 10.0000元","27932433.00","7137505.00","-155663.00","5448270.00"
"1111109","111","3","2450","神腦國際企業股份有限公司","通信網路業","1.91","新台幣                 10.0000元","22666084.00","284559.00","312381.00","491301.00"
"1111109","111","3","2455","全新光電科技股份有限公司","通信網路業","2.75","新台幣                 10.0000元","2097562.00","516679.00","100058.00","507695.00"
"1111109","111","3","2457","飛宏科技股份有限公司","電子零組件業","0.04","新台幣                 10.0000元","10164806.00","-178877.00","237024.00","13785.00"
"1111109","111","3","2476","鉅祥企業股份有限公司","電子零組件業","3.77","新台幣                 10.0000元","5062054.00","796748.00","283614.00","806862.00"
"1111109","111","3","2480","敦陽科技股份有限公司","資訊服務業","5.03","新台幣                 10.0000元","4870642.00","574569.00","82848.00","535226.00"
"1111109","111","3","2483","百容電子股份有限公司","電子零組件業","1.54","新台幣                 10.0000元","1738357.00","99884.00","119793.00","170381.00"
"1111109","111","3","2484","希華晶體科技股份有限公司","電子零組件業","4.26","新台幣                 10.0000元","2590003.00","643268.00","223605.00","678289.00"
"1111109","111","3","2488","漢平電子工業股份有限公司","其他電子業","3.10","新台幣                 10.0000元","2390591.00","237312.00","103200.00","246437.00"
"1111109","111","3","2489","瑞軒科技股份有限公司","光電業","-2.93","新台幣                 10.0000元","12782179.00","-54065.00","-2810423.00","-2334119.00"
"1111109","111","3","2495","普安科技股份有限公司","電腦及週邊設備業","0.52","新台幣                 10.0000元","990871.00","113932.00","49344.00","143521.00"
"1111109","111","3","2497","怡利電子工業股份有限公司","汽車工業","2.23","新台幣                 10.0000元","2468798.00","177171.00","196301.00","265936.00"
"1111109","111","3","2504","國產建材實業股份有限公司","建材營造","2.94","新台幣                 10.0000元","15509144.00","2389614.00","1815924.00","3537249.00"
"1111109","111","3","2511","太子建設開發股份有限公司","建材營造","0.65","新台幣                 10.0000元","10411794.00","1732427.00","-420537.00","1026333.00"
"1111109","111","3","2528","皇普建設股份有限公司","建材營造","0.45","新台幣                 10.0000元","1136482.00","213723.00","-10227.00","167233.00"
"1111109","111","3","2535","達欣工程股份有限公司","建材營造","2.43","新台幣                 10.0000元","12716462.00","1364063.00","-318510.00","772962.00"
"1111109","111","3","2536","宏普建設股份有限公司","建材營造","0.10","新台幣                 10.0000元","648265.00","294289.00","-182558.00","26264.00"
"1111109","111","3","2548","華固建設股份有限公司","建材營造","10.90","新台幣                 10.0000元","14469218.00","3756998.00","16026.00","3020676.00"
"1111109","111","3","2603","長榮測試股份有限公司","航運業","68.88","新台幣                 10.0000元","516257233.00","341982476.00","18971707.00","314683232.00"
"1111109","111","3","2605","新興航運股份有限公司","航運業","-0.08","新台幣                 10.0000元","2888060.00","196571.00","-196695.00","44478.00"
"1111109","111","3","2612","中國航運股份有限公司","航運業","2.84","新台幣                 10.0000元","3357522.00","745476.00","-127668.00","555801.00"
"1111109","111","3","2617","台灣航業股份有限公司","航運業","3.87","新台幣                 10.0000元","2792497.00","851166.00","875216.00","1616782.00"
"1111109","111","3","2618","長榮航空股份有限公司","航運業","1.21","新台幣                 10.0000元","98626887.00","7929256.00","693122.00","6920683.00"
"1111109","111","3","2630","亞洲航空股份有限公司","航運業","0.05","新台幣                 10.0000元","3021072.00","18554.00","-7451.00","8776.00"
"1111109","111","3","2633","台灣高速鐵路股份有限公司","航運業","0.38","新台幣                 10.0000元","25436157.00","5260418.00","-3033588.00","2143683.00"
"1111109","111","3","2634","漢翔航空工業股份有限公司","航運業","1.46","新台幣                 10.0000元","21284127.00","1026583.00","697421.00","1373707.00"
"1111109","111","3","2636","台驊國際投資控股股份有限公司","航運業","17.15","新台幣                 10.0000元","23998220.00","2354487.00","867834.00","2507044.00"
"1111109","111","3","2637","慧洋海運股份有限公司","航運業","12.71","新台幣                 10.0000元","19662193.00","9799522.00","-296158.00","9488165.00"
"1111109","111","3","2642","台灣宅配通股份有限公司","航運業","1.46","新台幣                 10.0000元","3389906.00","157943.00","12146.00","139730.00"
"1111109","111","3","2727","王品餐飲股份有限公司","觀光事業","2.41","新台幣                 10.0000元","13310280.00","209924.00","-39011.00","95667.00"
"1111109","111","3","2809","京城商業銀行股份有限公司","金融保險業","0.98","新台幣                 10.0000元","2938144.00","--","--","1098766.00"
"1111109","111","3","2832","台灣產物保險股份有限公司","金融保險業","1.72","新台幣                 10.0000元","4587325.00","784381.00","112.00","622400.00"
"1111109","111","3","2836","高雄銀行股份有限公司","金融保險業","0.63","新台幣                 10.0000元","2976878.00","--","--","784943.00"
"1111109","111","3","2851","中央再保險股份有限公司","金融保險業","0.13","新台幣                 10.0000元","16563590.00","-127872.00","18.00","76185.00"
"1111109","111","3","2855","統一綜合證券股份有限公司","金融保險業","0.35","新台幣                 10.0000元","4593683.00","486915.00","236991.00","516988.00"
"1111109","111","3","2897","王道商業銀行股份有限公司","金融保險業","0.58","新台幣                 10.0000元","6979985.00","--","--","2386312.00"
"1111109","111","3","2910","統領百貨股份有限公司","貿易百貨","0.35","新台幣                 10.0000元","518150.00","119495.00","-51386.00","61076.00"
"1111109","111","3","2912","統一超商股份有限公司","貿易百貨","7.03","新台幣                 10.0000元","214644668.00","9374417.00","1446300.00","8602506.00"
"1111109","111","3","3004","豐達科技股份有限公司(原宏達)","鋼鐵工業","1.54","新台幣                 10.0000元","1510292.00","75789.00","-16253.00","81165.00"
"1111109","111","3","3006","晶豪科技股份有限公司","半導體業","7.06","新台幣                 10.0000元","13541121.00","1547880.00","905833.00","2043186.00"
"1111109","111","3","3008","大立光電股份有限公司","光電業","139.37","新台幣                 10.0000元","33285109.00","13599285.00","9059200.00","18600923.00"
"1111109","111","3","3011","今皓實業股份有限公司","電子零組件業","-0.15","新台幣                 10.0000元","1219462.00","-30314.00","68099.00","-16698.00"
"1111109","111","3","3014","聯陽半導體股份有限公司","半導體業","6.28","新台幣                 10.0000元","4066615.00","1085778.00","116539.00","1011078.00"
"1111109","111","3","3015","全漢企業股份有限公司","電子零組件業","3.23","新台幣                 10.0000元","11531107.00","393726.00","420813.00","664242.00"
"1111109","111","3","3019","亞洲光學股份有限公司","光電業","2.90","新台幣                 10.0000元","14462583.00","973491.00","474239.00","1149110.00"
"1111109","111","3","3023","信邦電子股份有限公司","電子零組件業","9.71","新台幣                 10.0000元","22570531.00","2537458.00","554876.00","2401849.00"
"1111109","111","3","3026","禾伸堂企業股份有限公司","電子零組件業","6.58","新台幣                 10.0000元","11777878.00","1178458.00","59650.00","956765.00"
"1111109","111","3","3029","零壹科技股份有限公司","資訊服務業","3.14","新台幣                 10.0000元","9796325.00","546807.00","39110.00","477616.00"
